B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B08301_021E,B08301_001E,B08301_010E,B19301_001E,B23025_001E,B23025_002E,B23025_005E,B29003_001E,B29003_002E,B15002_002E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,B27010_001E,B27010_017E,B27010_033E,B27010_050E,B27010_066E,B14002_001E,B14002_003E,B14002_027E,B28002_001E,B28002_012E,B28002_013E,B28003_001E,B28003_002E,B28003_003E,B28003_005E,B28001_003E,B28001_004E,B28001_006E,B28001_008E,B28001_011E,B28002_003E,B28002_006E,B28002_007E,B28002_010E,B19049_001E,B25010_001E,GEOID,pct_age_under_5,pct_age_5to9,pct_age_10to14,pct_age_15to17,pct_age_18to21,pct_age_22to64,pct_age_65&over,pct_work_remote,pct_use_pub_trans,income_per_capita,pct_labor_force,pct_unemployed,pct_income_below_poverty,pct_below_bsc,pct_no_insurance,pct_internet_no_subscr,pct_no_internet,pct_has_a_computer,pct_has_computer_w_diapup_subscr,pct_computer_no_internet_subscr
21565,11469,621,621,636,417,254,156,226,438,812,718,800,703,768,825,843,344,423,249,308,530,402,185,190,10096,564,497,711,387,177,95,135,327,593,573,587,540,622,640,827,215,412,200,339,572,474,315,294,183,8633,67,23194,17630,9285,525,15441,2234,8100,564,183,46,13,7203,660,237,14,10,19948,277,475,882,10,20782,2411,2139,7737,130,1978,7737,5984,40,438,4607,582,913,41,1753,51,823,4166,150,46650,2.57,17051,5.4950150707164385,5.184326454903779,6.246232320890331,3.7282633897519126,4.836540690934385,55.692093670299094,18.817528402504056,2.119772964207112,0.7760917409938608,23194.0,52.665910380034035,5.654281098546042,14.467974872093777,88.71463111808143,8.241427712051333,1.6802378182758175,25.565464650381283,77.34263926586532,0.5169962517771746,5.661108956960062
29003,14298,828,757,748,544,497,218,190,588,924,910,1053,925,953,931,1018,378,588,344,393,545,416,200,350,14705,725,718,784,503,467,187,187,689,1058,952,927,794,838,878,1124,353,545,380,455,642,455,294,750,599,12211,52,27546,24117,13168,738,19265,1588,9928,1239,388,83,90,10445,1583,587,55,34,25735,171,464,507,12,28152,3328,3488,10797,437,1990,10797,9363,51,1099,7669,769,972,123,1434,51,1174,6330,108,57308,2.31,17107,5.3546184877426475,5.085680791642244,5.282212184946385,3.6099713822707997,6.0200668896321075,56.63552046340034,18.01192980036548,4.905413152075997,0.4258455490950782,27546.0,54.60048928141975,5.6044957472661,8.242927588891773,80.07657193344131,4.484165533320381,4.047420579790683,18.431045660831714,86.71853292581272,0.4723534315087524,10.178753357414097
23994,11807,798,612,803,546,261,93,209,355,754,735,876,447,769,790,766,416,474,382,388,488,365,263,217,12187,700,571,774,392,193,152,132,290,821,718,785,573,754,875,872,488,415,304,387,692,449,347,503,322,9631,85,25342,19422,10718,816,18308,3452,8130,1044,345,122,45,8983,1150,539,17,26,23540,215,404,374,0,23140,2540,2395,9972,295,2454,9972,8216,81,1054,6065,684,1477,160,1756,82,1551,4900,144,44090,2.36,17165,6.24322747353505,4.930399266483287,6.572476452446445,3.909310660998583,4.334416937567725,54.06768358756356,19.94248562140535,3.3433703665247636,0.8825667116602637,25342.0,55.18484193182989,7.613360701623437,18.855145291675772,80.78653655115994,4.218351741716227,2.9582831929402325,24.60890493381468,82.39069394304052,0.8122743682310469,10.569594865623747
701473,350466,20725,24406,25733,16798,12229,6059,5339,16055,20443,19709,21358,22285,24147,25337,24931,9525,11855,7284,8795,11336,7488,4498,4131,351007,19978,22550,25428,15928,9600,4158,4224,14587,18301,19441,21434,23054,25021,26294,25545,9903,12754,7949,9604,12364,8595,6080,8215,24486,355918,15805,45766,551803,380960,19357,454223,28673,223122,58557,28716,9520,5077,234554,62944,33573,5562,3491,685292,5798,16420,23192,894,678437,95479,93426,246122,4433,20056,246122,231828,668,11425,209482,13550,11494,1373,14294,668,20518,195217,991,89427,2.78,17097,5.802504159105197,6.693914092203121,7.29336695781591,4.665325678964122,5.931660947748523,55.87941374792757,13.73381441623555,6.879674531774173,4.440629583218606,45766.0,69.0391317191099,5.081110877782445,6.312538114538453,54.675359861561454,6.7568277464205035,1.801139272393366,8.148804251550045,94.19231113025248,0.2714101136834578,4.642006809630996
14219,6714,388,516,344,247,132,24,104,251,388,344,361,462,451,462,471,171,330,118,205,393,258,193,101,7505,403,712,325,269,112,93,26,252,377,362,452,457,430,487,469,319,266,226,207,408,269,311,273,178,5602,17,23539,11427,5895,259,10683,1604,4708,470,151,19,18,5313,541,175,17,5,13979,174,203,375,0,13766,1386,1652,5822,133,1710,5822,4277,57,340,2908,398,835,101,1545,57,1231,2158,232,47481,2.39,17127,5.5629791124551655,8.636331668893733,4.704972220268655,3.628947183346227,3.453126098881778,53.182361628806525,20.831282087347915,3.1774366297750802,0.30346304891110315,23539.0,51.588343397217116,4.393553859202714,15.014509033043153,86.06925456541263,5.379497818155805,2.2844383373411197,29.371350051528683,73.46272758502234,0.9790450017176228,5.839917554105119
12493,6236,377,510,423,287,153,99,54,197,360,433,323,380,385,471,421,141,250,147,253,183,198,129,62,6257,433,420,364,229,141,37,23,243,403,367,371,389,408,414,482,150,199,159,227,196,244,156,202,175,5870,12,26992,9857,6403,414,8441,996,4136,402,139,11,7,4367,519,177,20,9,12358,98,212,365,0,11940,1418,1405,5043,175,999,5043,4269,17,467,3302,386,535,29,774,26,799,2782,43,52373,2.44,17017,6.48363083326663,7.444168734491315,6.299527735531898,4.130312975266149,4.0582726326742975,54.32642279676619,17.257664292003522,2.9812606473594547,0.20442930153321975,26992.0,64.95891244800649,6.465719194127753,11.799549816372467,84.89944725391038,5.462048875222528,3.47015665278604,19.80963712076145,84.65199286139203,0.33710093198492963,9.260360896291889
36359,17919,996,1123,1137,698,547,245,199,787,1165,1109,1175,1045,1148,1225,1333,568,758,432,550,639,484,299,257,18440,1042,1008,1168,659,530,283,343,575,1086,1047,976,1128,1149,1281,1414,639,645,516,537,744,773,421,476,615,18229,25,26502,29405,19129,532,27002,2514,12187,1495,666,87,56,12832,1752,821,123,22,35928,510,916,1385,6,35165,4237,4481,14742,568,2448,14742,13032,108,1393,10705,1216,1347,167,1710,108,2252,8339,180,53632,2.37,18069,5.605214664869771,5.860997277152837,6.339558293682445,3.7322258587969968,5.9050028878682035,55.70285211364449,16.85414890398526,3.3737451313840583,0.1371441110318723,26502.0,65.05356231933345,2.781117674734696,9.310421450262943,79.92725528598265,7.840681362725451,3.8529371862705197,16.605616605616607,88.4004884004884,0.7326007326007326,9.449192782526115
24149,12063,772,889,731,504,281,135,239,375,658,639,654,649,825,760,808,323,645,441,397,495,306,284,253,12086,718,808,779,449,245,76,91,432,675,654,621,636,702,835,936,396,498,373,449,563,466,273,411,458,10964,25,27461,19107,11793,465,17599,1360,8137,885,315,59,18,8488,904,430,58,51,23866,485,864,914,0,23212,2622,2677,9879,198,1586,9879,8840,66,800,7156,1025,827,87,1039,76,1271,6110,214,54576,2.41,18181,6.170027744420059,7.027206095490497,6.25284690877469,3.946333181498199,4.418402418319599,52.677129487763466,19.508054163733487,4.177307551988325,0.22801897117840203,27461.0,61.72083529596483,3.943017044009158,7.727711801806921,83.6390977443609,9.482108438783206,2.0042514424536897,16.054256503694706,89.48274116813442,0.6680838141512299,8.097985626075515
20840,10452,785,798,742,468,247,114,201,405,644,529,568,558,657,723,614,308,500,210,273,494,229,240,145,10388,674,531,813,468,245,58,144,402,592,512,547,608,697,714,704,282,373,260,273,557,386,281,267,490,9400,38,23443,16135,9992,376,15274,1990,6692,466,193,16,43,7053,533,291,11,14,20638,293,793,703,38,19974,2369,2366,8174,733,1781,8174,6718,92,1151,5278,724,817,78,1456,97,1216,3553,209,47658,2.52,18075,7.000959692898273,6.377159309021113,7.461612284069098,4.491362763915547,4.841650671785029,52.48080614203455,17.34644913627639,5.212765957446808,0.40425531914893614,23443.0,61.92748682987295,3.7630104083266613,13.028676181746759,88.5994907238996,8.852601996317473,8.967457793002202,21.788597993638366,82.18742353804747,1.1255199412772205,14.081233178370443
44438,21874,1296,1259,1689,885,500,238,128,905,1363,1278,1352,1319,1456,1625,1772,587,896,501,764,815,714,278,254,22564,1238,1206,1680,881,480,287,177,705,1345,1459,1320,1214,1508,1702,1718,593,977,603,692,882,716,377,804,623,21938,24,29583,35406,23067,820,32893,3044,14974,1689,661,109,56,15910,2221,890,94,45,43731,410,1010,1540,39,42877,4831,5237,17823,652,3290,17823,15563,76,1866,12755,1161,1518,146,2260,84,2153,10221,165,60404,2.45,18145,5.702326837391421,5.547054322876817,7.581349295647869,3.974076241054953,4.07309059813673,56.469688104775194,16.652414600117016,2.839821314613912,0.10939921597228554,29583.0,65.14997458057957,3.5548619239606363,9.254248624327364,81.33337650563399,6.857835402803503,3.6581944678224767,18.45929417045391,87.31975537227179,0.4264153060651967,10.469617909442855
